FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Behandling af stormskader.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";Indbo
Behandling af stormskader.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";Indbo
Undtagelsesbestemmelsen - Forsikringen dækker ikke skade der er dækket eller undtaget andetsteds i forsikringen.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx""";Indbo
Sanering - Forbehold på policen.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Forbeholdsbreve%20-%20Forretningsgang.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Forbeholdsbreve%20-%20Forretningsgang.docx""";Indbo
Iphones - Garanti - Reklamation - Reparation - Ombytning.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Forbrugerombudsmandens%20vejledning.doc""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Forbrugerombudsmandens%20vejledning.doc""";Indbo
Mentech.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brug%20af%20Mentech.pptx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brug%20af%20Mentech.pptx""";Indbo
Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx""";Indbo
Scalepoint til bygningsskader.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx""";Indbo
Mail - Skriftlig kommunikation med medlem.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Guide%20til%20brevskrivning%20i%20AS400.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Guide%20til%20brevskrivning%20i%20AS400.docx""";Indbo
Gulvbelægning - indbo eller bygning.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Gulvbelægning%20indbo%20eller%20bygning.pdf""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Gulvbelægning%20indbo%20eller%20bygning.pdf""";Indbo
