OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Stikledninger.aspx;Stikledninger.aspx;Afsnit 9: Stikledninger;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse identifikation.aspx;Ankenævnskendelse identifikation.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse blivende plads.aspx;Ankenævnskendelse blivende plads.aspx;Ankenævnskendelse;Afsnit 4. Tyveri - hærværk;Bygning;False;Error
Ankenævnskendelse udstrømning af væsker.aspx;Ankenævnskendelse udstrømning af væsker.aspx;Ankenævnskendelse;Kolonne 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning;False;Error
Ankenævnskendelse manglende vedligeholdelse.aspx;Ankenævnskendelse manglende vedligeholdelse.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk, Afsnit 7: Pludselig skade, Afsnit 11: Råd/Svamp, Afsnit 12: Insekter;Bygning;False;Error
Ankenævnskendelse fællesledning.aspx;Ankenævnskendelse fællesledning.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse spabad.aspx;Ankenævnskendelse spabad.aspx;Ankenævnskendelse;Afsnit 1.G.b: Glas og sanitet;Bygning;False;Error
Ankenævnskendelse el-drevne genstande.aspx;Ankenævnskendelse el-drevne genstande.aspx;Ankenævnskendelse;Afsnit 3: El-skade;Bygning;False;Error
Ankenævnskendelse hærværk.aspx;Ankenævnskendelse hærværk.aspx;Ankenævnskendelse;Afsnit 4: Tyveri og hærværk;Bygning;False;Error
Ankenævnskendelse stige.aspx;Ankenævnskendelse stige.aspx;Ankenævnskendelse;Afsnit 1.G.d: Bygningstilbehør;Bygning;False;Error
Ankenævnskendelse stillads.aspx;Ankenævnskendelse stillads.aspx;Ankenævnskendelse;Afsnit 1.G.d: Bygningstilbehør;Bygning;False;Error
Ankenævnskendelse - større maskiner.aspx;Ankenævnskendelse - større maskiner.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse - damp.aspx;Ankenævnskendelse - damp.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse grundvandssænkning.aspx;Ankenævnskendelse grundvandssænkning.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse ombygning.aspx;Ankenævnskendelse ombygning.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse spild af væsker.aspx;Ankenævnskendelse spild af væsker.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
