FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Indbovilkår 33-4 eller Indbovilkår 33-5.aspx;/Skade/hb/indbo/Delte%20dokumenter/Policeudklip%20vedrørende%20gældende%20vilkår.docx;/Indbo/Policeudklip%20vedrørende%20gældende%20vilkår.docx;Indbo
Politikredse.aspx;/Skade/hb/indbo/Delte%20dokumenter/Politioversigt.xls;/Indbo/Politioversigt.xls;Indbo
Postnumre inddeling for Indbotaksator på Sjælland.aspx;/Skade/hb/indbo/Delte%20dokumenter/Postnummer%20fordeling%20sjælland.png;/Indbo/Postnummer%20fordeling%20sjælland.png;Indbo
Indbrud - Behandling af bygningsskader ved indbrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
Scalepoint til bygningsskader.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
Takseringsfaktura - Betaling af takseringsfaktura.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;/Skade/hb/indbo/Delte%20dokumenter/Rykkerbrev%201.PNG.docx;/Indbo/Rykkerbrev%201.PNG.docx;Indbo
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;/Skade/hb/indbo/Delte%20dokumenter/Rykkerbrev%202.docx;/Indbo/Rykkerbrev%202.docx;Indbo
Gerningsmænd - Forretningsgang for gerningsmandssager.aspx;/Skade/hb/indbo/Delte%20dokumenter/Skadestabs%20og%20Medlemsjuras%20arbejdsområde%20med%20gerningsmandssager.docx;/Indbo/Skadestabs%20og%20Medlemsjuras%20arbejdsområde%20med%20gerningsmandssager.docx;Indbo
IndboSkybrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/Skybrudsdækning%20-%20Vandskadedækning%20lejer%20-%20Vandskadedækning%20ejer%20med%20HusPlus.docx;/Indbo/Skybrudsdækning%20-%20Vandskadedækning%20lejer%20-%20Vandskadedækning%20ejer%20med%20HusPlus.docx;Indbo
IndboSkybrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/Skybrudsguide%20gældende%20fra%2030.6.16.pdf;/Indbo/Skybrudsguide%20gældende%20fra%2030.6.16.pdf;Indbo
Udenlandske smykker.aspx;/Skade/hb/indbo/Delte%20dokumenter/Smykkekursus.pptx;/Indbo/Smykkekursus.pptx;Indbo
Ædelstene, herunder rav.aspx;/Skade/hb/indbo/Delte%20dokumenter/Smykkekursus.pptx;/Indbo/Smykkekursus.pptx;Indbo
Dokumentation - hvornår beder vi om dokumentation.aspx;/Skade/hb/indbo/Delte%20dokumenter/Søgning%20på%20serienummer.docx;/Indbo/Søgning%20på%20serienummer.docx;Indbo
(a) Medlem til sagsbehandler.aspx;/Skade/hb/indbo/SitePages/(a)%20Sagsbehandler%20til%20sagsbehandler.aspx;/SitePages/(a)%20Sagsbehandler%20til%20sagsbehandler.aspx;Indbo
(b) Sagsbehandler til sagsbehandler.aspx;/Skade/hb/indbo/SitePages/(a)%20Sagsbehandler%20til%20sagsbehandler.aspx;/SitePages/(a)%20Sagsbehandler%20til%20sagsbehandler.aspx;Indbo
(a) Medlem til sagsbehandler.aspx;/Skade/hb/indbo/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;Indbo
(b) Sagsbehandler til sagsbehandler.aspx;/Skade/hb/indbo/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;Indbo
(b) Sagsbehandler til sagsbehandler.aspx;/Skade/hb/indbo/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;/SitePages/(c)%20Sagsbehandler%20til%20sagsbehandler.aspx;Indbo
